signal_target_id,signal_id,market_key,target_type,target_label,canonical_target_id,propagation_mode,scope_review_summary,coverage_state,confidence_state,review_state,resolution_status,lineage_reference,product_scope_guard
TGT-028,SIG-SR-NZ-003,NZ,product_family,Vogel's breads — exact MPI 11 Aug 2026 recall scope,TGT-028,family_members,Only exact products/date markings named by MPI; no propagation to all Vogel's products outside the recall.,product_family,confirmed,reviewed,resolved,MPI-VOGELS-METAL-20260811,
TGT-029,SIG-SR-AU-004,AU,product,Mr Chen's Szechuan Chilli Oil 250g — affected best-before dates only,TGT-029,exact_only,"Only the 250g product with best-before dates 04/12/2026, 07/04/2027 or 11/12/2027.",exact_product,confirmed,reviewed,resolved,FSANZ-MRCHENS-20260818,
TGT-100,SIG-SR-AU-001-20260918,AU,product,Chickadees Multipack 6x19g (114g),TGT-100,exact_only,Only listed date markings.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710|successor-20260918,
TGT-101,SIG-SR-AU-001-20260918,AU,product,Chickadees 190g,TGT-101,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710|successor-20260918,
TGT-102,SIG-SR-AU-001-20260918,AU,product,Chickadees 90g,TGT-102,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710|successor-20260918,
TGT-103,SIG-SR-AU-001-20260918,AU,product,Chickadees 45g,TGT-103,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710|successor-20260918,
TGT-104,SIG-SR-AU-002-20260918,AU,product,Allen's iNSiDE OUTS 130g,TGT-104,exact_only,Only listed batch numbers and date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-ALLENS-INSIDEOUTS-20260602|successor-20260918,
TGT-105,SIG-SR-NZ-002-20260918,NZ,product,Pams Beef Lasagne 1.3kg,TGT-105,exact_only,Only product labelled USE BY 01MAY26; correct date was 01MAR26.,exact_product,confirmed,reviewed,resolved,MPI-PAMS-LASAGNE-20260227|successor-20260918,
TGT-106,SIG-SR-AU-003-20260918,AU,entity,Coles Supermarkets Australia,P0002,entity_descendants,All current Coles-owned/private-label product descendants in AU; exclude third-party brands merely stocked by Coles.,entity_context,confirmed,reviewed,resolved,ACCC-39-26|successor-20260918,
TGT-107,SIG-IN-AU-001-20260918,AU,brand,Leggo's Tomato Paste — AU,B0179,brand_descendants,Brand-wide In-the-News for governed brand B0179 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Leggo's Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-LEGGOS|successor-20260918,
TGT-108,SIG-IN-AU-002-20260918,AU,brand,Remano Tomato Paste — AU,B0032,brand_descendants,Brand-wide In-the-News for governed brand B0032 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Remano Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-REMANO|successor-20260918,
TGT-109,SIG-IN-AU-003-20260918,AU,brand,Coles Italian Tomato Paste — AU,B0200,brand_descendants,Brand-wide In-the-News for governed brand B0200 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Coles Italian Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-COLES-TOMATO|successor-20260918,
TGT-110,SIG-IN-AU-004-20260918,AU,brand,Hoyt's Turmeric — AU,B0653,brand_descendants,Brand-wide In-the-News for governed brand B0653 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Hoyt's Turmeric — AU,brand_context,strong,reviewed,resolved,ABC-106960116-HOYTS|successor-20260918,
TGT-111,SIG-IN-AU-005-20260918,AU,brand,Woolworths Cage-Free Eggs — tested South Australian range,B0001,brand_descendants,Brand-wide In-the-News for governed brand B0001 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Woolworths Cage-Free Eggs — tested South Australian range,brand_context,strong,reviewed,resolved,ABC-106960116-WOOLWORTHS-EGGS|successor-20260918,
TGT-112,SIG-IN-GL-001-20260918,AU,brand,Cadbury chocolate — AU,B0067,brand_descendants,"Cadbury/Mondelēz chocolate context only; exclude Ritz, Philadelphia and other non-chocolate Mondelēz brands.",brand_context,strong,reviewed,resolved,ABC-106970782-COCOALIFE|successor-20260918,cocoa_chocolate
TGT-113,SIG-IN-GL-001-20260918,NZ,brand,Cadbury chocolate — NZ,B0067,brand_descendants,Cadbury/Mondelēz chocolate context only; exclude non-chocolate Mondelēz brands.,brand_context,strong,reviewed,resolved,ABC-106970782-COCOALIFE|successor-20260918,cocoa_chocolate
TGT-114,SIG-IN-NZ-001-20260918,NZ,brand,Keri Fruit Juice — documented 3L to 2.4L transition,B0268,brand_descendants,Brand-wide In-the-News for governed brand B0268 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Keri Fruit Juice — documented 3L to 2.4L transition,brand_context,strong,reviewed,resolved,CONSUMERNZ-KERI-20260211|successor-20260918,
TGT-115,SIG-IN-NZ-002-20260918,NZ,brand,Anchor Blue Milk Powder 400g,B0139,brand_descendants,Brand-wide In-the-News for governed brand B0139 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Anchor Blue Milk Powder 400g,brand_context,strong,reviewed,resolved,CONSUMERNZ-ANCHOR-BLUE-20260211|successor-20260918,
TGT-116,SIG-IN-NZ-003-20260918,NZ,brand,Pams sparkling water with outdated two-star HSR,B0024,brand_descendants,Brand-wide In-the-News for governed brand B0024 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Pams sparkling water with outdated two-star HSR,brand_context,strong,reviewed,resolved,RNZ-590339|successor-20260918,
TGT-117,SIG-IN-GL-002-20260918,AU+NZ,entity,"Mondelez International, Inc.",P0009,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-118,SIG-IN-GL-002-20260918,AU+NZ,entity,Nestlé S.A.,P0008,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-119,SIG-IN-GL-002-20260918,AU+NZ,entity,"Mars, Incorporated",P0007,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-120,SIG-IN-GL-002-20260918,AU+NZ,entity,The Hershey Company,P0033,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-121,SIG-IN-GL-002-20260918,AU+NZ,entity,Unilever PLC,P0013,entity_descendants,Publication-time corporate subject named by Global Witness; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-122,SIG-IN-GL-002-20260918,AU+NZ,brand,Magnum,B0105,brand_descendants,Explicit publication-time bridge for Unilever/Magnum; do not propagate to all current TMICC brands.,brand_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125|successor-20260918,cocoa_chocolate
TGT-123,SIG-IN-NZ-004-20260918,NZ,brand,Anchor Butter — affected historical label period,B0139,brand_descendants,Brand-wide In-the-News for governed brand B0139 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Anchor Butter — affected historical label period,brand_context,strong,reviewed,resolved,NZH-ANCHOR-GRASSFED-20260331|successor-20260918,
TGT-124,SIG-IN-NZ-005-20260918,NZ,entity,Talley's Group,P0158,entity_descendants,All current NZ consumer-brand/product descendants for company-context display; do not imply every site or product was directly involved in each underlying allegation.,entity_context,strong,reviewed,resolved,NZH-TALLEYS-JUDGMENT-20251217|successor-20260918,
TGT-125,SIG-SR-NZ-003-20260918,NZ,product_family,Vogel's breads — exact MPI 11 Aug 2026 recall scope,TGT-125,family_members,Only exact products/date markings named by MPI; no propagation to all Vogel's products outside the recall.,product_family,confirmed,reviewed,resolved,MPI-VOGELS-METAL-20260811|successor-20260918,
TGT-126,SIG-SR-AU-004-20260918,AU,product,Mr Chen's Szechuan Chilli Oil 250g — affected best-before dates only,TGT-126,exact_only,"Only the 250g product with best-before dates 04/12/2026, 07/04/2027 or 11/12/2027.",exact_product,confirmed,reviewed,resolved,FSANZ-MRCHENS-20260818|successor-20260918,
TGT-127,SIG-SR-AU-005,AU,product,Red Hat Cookia Matcha Chocolate Flavor 80g,TGT-127,exact_only,Only the 80g product with best-before dates up to and including 25 February 2027. Candidate GTIN 4975186250043 is unverified research lead — do not promote.,exact_product,confirmed,reviewed,resolved,FSANZ-REDHAT-20260911,
TGT-128,SIG-SR-AU-006,AU,product,JC Seafood Sweet Chilli and Lime Salmon Portions 275g,TGT-128,exact_only,Only the 275g product sold through Woolworths in Western Australia with best before 18 September 2026.,exact_product,confirmed,reviewed,resolved,FSANZ-JCSEAFOOD-20260910,
TGT-129,SIG-SR-AU-007,AU,product_family,Austral Herbs Certified Organic Premium Peppermint Leaf packs,TGT-129,family_members,Only listed 250g/1kg/5kg/10kg packs with best before 2 April 2029; membership GTINs still required for match.,product_family,confirmed,reviewed,resolved,FSANZ-AUSTRALHERBS-20260909,
TGT-130,SIG-SR-AU-008,AU,product,Brie Mon Sire 1kg — Foodland Brighton SA,TGT-130,exact_only,AU-only 1kg product; must not cross-publish to NZ Mon Sire variants. Best before 13 October 2026.,exact_product,confirmed,reviewed,resolved,FSANZ-MONSIRE-AU-20260904,
TGT-131,SIG-SR-NZ-004,NZ,product,Dongwon Fried Bean Curd 340g,TGT-131,exact_only,All batches/dates of the named 340g product. Candidate GTIN 8801047559610 is unverified research lead — do not promote.,exact_product,confirmed,reviewed,resolved,MPI-DONGWON-20260911,
TGT-132,SIG-SR-NZ-005,NZ,product,Woolworths Multi Grain Cereal 500g,TGT-132,exact_only,Exact-product only — must not propagate entity-wide to other Woolworths products. Best before 30 April 2027.,exact_product,confirmed,reviewed,resolved,MPI-WOOLWORTHS-MULTIGRAIN-20260908,
TGT-133,SIG-SR-NZ-006,NZ,product_family,Mon Sire Brie packs — Sabato NZ listed weights,TGT-133,family_members,NZ Sabato-listed packs/weights only; never cross-publish to AU 1kg. Membership GTINs still required for match.,product_family,confirmed,reviewed,resolved,MPI-MONSIRE-NZ-20260904,
TGT-134,SIG-IN-GL-003,AU+NZ,entity,"Mondelez International, Inc.",P0009,entity_descendants,Company-level Mondelez EUDR lobbying context across AU/NZ products owned by entity P0009. No cocoa_chocolate product_scope_guard. Mars/Nestlé/Ferrero/Tony's are not targets.,entity_context,strong,reviewed,resolved,GW-MONDELEZ-EUDR-20260908,
