candidate_id,candidate_brand_name,candidate_parent_name,candidate_type,evidence_basis,audit_rows,recommended_workflow,proposed_review_state,source_url,notes
PEC0011,Super Nature,Vesco Foods Pty Ltd,new_parent_brand_candidate,Coles/frozen-meal audit surfaced Super Nature; official Super Nature site references Vesco Foods.,COLP034,keep_candidate_post_v0.10_signoff,provisional,https://supernaturefoods.com.au/,Frozen/ready meal gap. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0012,Lean Cuisine,Patties Food Group / licensed brand complexity,licensed_brand_review_candidate,Coles frozen-meal audit surfaced Lean Cuisine; AU/NZ licensing creates current-chain complexity.,COLP035,keep_candidate_post_v0.10_signoff,provisional,https://pattiesfoodgroup.com/about-us,Licensing complexity: product ownership chain may differ from global brand owner. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0013,McCain Healthy Choice,McCain Foods Limited,new_brand_or_alias_candidate,Coles frozen-meal audit surfaced McCain Healthy Choice; may be a brand/sub-brand under McCain.,COLP036,promoted_to_canonical_chaining_v0.10,reviewed,https://mccain.com.au/products/,Founder exception review: AU/NZ McCain Healthy Choice rights confirmed; promoted to canonical brand B0651 under McCain Foods.
PEC0014,Cobs,Cobs Fine Foods / Kinrise Pty Ltd to verify,new_parent_brand_candidate,"Coles snack audit surfaced Cobs; official brand source confirms brand presence, parent ownership needs verified source.",COLP040,keep_candidate_post_v0.10_signoff,provisional,https://cobs.com.au/,High-value snack brand gap. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0015,Magnum,The Magnum Ice Cream Company N.V.,benchmark_brand_alias_seed_current_ownership_review,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted_to_canonical_chaining_v0.10,reviewed,https://corporate.magnumicecream.com/en/brands.html,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0016,Wall's,The Magnum Ice Cream Company N.V.,benchmark_brand_alias_seed_current_ownership_review,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted_to_canonical_chaining_v0.10,reviewed,https://corporate.magnumicecream.com/en/brands.html,Founder exception review: TMICC ownership approved; Wall's promoted to canonical brand B0652 under P0014.
PEC0017,Streets,The Magnum Ice Cream Company N.V.,benchmark_brand_alias_seed_current_ownership_review,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted_to_canonical_chaining_v0.10,reviewed,https://corporate.magnumicecream.com/en/brands.html,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0018,Paddle Pop,The Magnum Ice Cream Company N.V.,benchmark_brand_alias_seed_current_ownership_review,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted_to_canonical_chaining_v0.10,reviewed,https://corporate.magnumicecream.com/en/brands.html,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0019,Guylian,Lotte / Guylian ownership review,uat_medium_priority_parent_brand_review,Guylian Original Seashell Chocolates (Fairtrade),Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0020,Kettle,Intersnack Group GmbH & Co. KG,uat_medium_priority_parent_brand_review,Kettle Ridge Cut Chips - Balsamic Vinegar & Salt,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,promoted_to_canonical_chaining_v0.10,reviewed,https://www.intersnackgroup.com/brands/overview,Founder exception review: Kettle owned by Intersnack; Snackbrands Australia captured as local entity context; promoted to B0650/P0156.
PEC0021,Peters Ice Cream,Peters Ice Cream current parent review,uat_medium_priority_parent_brand_review,Peters Original Vanilla Ice Cream,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0022,Driscoll's,"Driscoll's, Inc. / fresh produce inclusion review",uat_medium_priority_parent_brand_review,Driscoll's Blackberries,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0023,Sandhurst,Sandhurst Fine Foods Pty Ltd,uat_medium_priority_parent_brand_review,Sandhurst Pitted Green Olives,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0024,Nature's Path,Nature's Path Foods Inc.,uat_medium_priority_parent_brand_review,Nature's Path product observed in UAT food/drink pack,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0025,KB's,KB Food Co / KB Seafood ownership review,uat_medium_priority_parent_brand_review,KB's Heat & Eat Prawn Gyoza,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0026,Samyang Buldak,"Samyang Foods Co., Ltd.",uat_medium_priority_parent_brand_review,Samyang Carbonara Buldak Spicy Ramen,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0027,Amy's Kitchen,"Amy's Kitchen, Inc.",uat_medium_priority_parent_brand_review,Amy's Organic Lentil Soup,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0028,F. Whitlock & Sons,Kraft Heinz / Wattie’s current brand-family review,uat_medium_priority_parent_brand_review,F. Whitlock & Sons Killer Beans - Smokey Campfire BBQ,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0029,Ocean Blue,Ocean Blue ownership/supplier review,uat_medium_priority_parent_brand_review,Hot smoked salmon UAT candidate,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0030,Sambazon,"Sambazon, Inc.",uat_medium_priority_parent_brand_review,Sambazon acai bowl UAT candidate,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0031,Wild Tides,Wild Tides / supplier-retailer ownership review,uat_medium_priority_parent_brand_review,Wild Tides tuna UAT candidate,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,keep_candidate_post_v0.10_signoff,provisional,SRC_UAT_AU_TEST_PACK_20260417,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
