dimension,value,label,definition
confidence_state,low,Low,Insufficient for public publication.
confidence_state,rejected,Rejected,Rejected evidence or resolution.
review_state,seeded,Seeded,Initial governed data row awaiting review.
review_state,provisional,Provisional,Reviewed in part but not final.
review_state,reviewed,Reviewed,Governed review complete.
review_state,disputed,Disputed,Material challenge or conflict under review.
review_state,archived,Archived,No longer active; retained for history.
signal_publication_state,candidate,Candidate,Ingested or drafted; not public.
signal_publication_state,held_for_review,Held for Review,Awaiting required review or resolution.
signal_publication_state,publishable,Publishable,"All class, scope, review and resolution gates pass."
signal_publication_state,suppressed,Suppressed,Not eligible for public display.
signal_publication_state,expired,Expired,Past the approved public display horizon.
resolution_status,resolved,Resolved,Canonical target resolved without material warning.
resolution_status,resolved_with_warning,Resolved with Warning,Target resolved with an approved qualification.
resolution_status,ambiguous,Ambiguous,Multiple plausible targets or unresolved scope conflict.
resolution_status,blocked,Blocked,Must not become publishable.
resolution_status,needs_review,Needs Review,Must remain candidate or held for review.
target_type,product,Product,"A bounded reviewed product or product line. In an allowed market, relevance is established by either an exact match to a verified GTIN governed on the Signal target, or by resolved Chaining brand/entity identity plus a founder-reviewed product-name term. GTIN is positive-only evidence and is not stored in Chaining."
target_type,product_family,Product Family,Historical value only for MVP. Product-family determination is de-scoped; no current publishable MVP target may depend on product_family.
target_type,brand,Brand,A canonical brand or sub-brand governed in Chaining. Current MVP brand targets use a canonical B-ID with brand_descendants propagation; product/GTIN facts are not stored in Chaining.
target_type,entity,Entity,A canonical current entity governed in Chaining. Current MVP entity targets use a canonical P-ID with entity_descendants propagation.
target_type,operational_entity,Operational Entity,"A governed manufacturer, importer, distributor, licensee or other selected operator used where operational scope is the approved basis; resolve through the existing Chaining operational relationship."
subject_response_status,not_applicable,Not Applicable,"Used where a subject response is not relevant, typically official recall records."
subject_response_status,pending_review,Pending Review,"The source may contain a response, but it has not yet been captured and reviewed."
subject_response_status,captured_from_source,Captured from Source,The approved source itself contains the subject/company response.
subject_response_status,captured_from_separate_public_statement,Captured from Separate Public Statement,A separate public statement from the subject/company is linked and summarised.
subject_response_status,not_reported,Not Reported,No subject response is reported in the approved source; this is not treated as a refusal to comment.
subject_response_status,declined_to_comment,Declined to Comment,The source explicitly reports that the subject declined to comment or respond.
propagation_mode,exact_only,Exact Only,"Do not propagate beyond the bounded product scope defined by the target. A verified GTIN or reviewed product-name match may establish relevance. Pack size, batch/date, retailer and similar source qualifications do not create additional MVP firing gates unless expressly founder-approved."
propagation_mode,family_members,Family Members,Historical value only for MVP. Family-members propagation is de-scoped and must not be used by a current publishable MVP target.
propagation_mode,brand_descendants,Brand Descendants,Match products resolving through Chaining to the canonical brand or its governed child-brand descendants. Chaining remains brand/entity ownership and alias governance only.
propagation_mode,entity_descendants,Entity Descendants,Match current product/brand descendants whose governed Chaining ownership path resolves to the canonical entity.
propagation_mode,operational_descendants,Operational Descendants,Match reviewed products linked to the selected operational entity where that relationship is the approved scope basis.
product_scope_guard,cocoa_chocolate,Cocoa / Chocolate,Optional additional narrowing after the base brand/entity target matches. Pass only where available product evidence positively indicates cocoa or chocolate relevance; otherwise fail closed. This is the only approved MVP product-scope guard.
target_field,product_match_terms,Product Match Terms,Pipe-separated founder-reviewed positive product-name phrases for a product target. Terms are alternatives (OR). Name matching is used only with the governed Chaining identity path; failure to match does not veto a verified GTIN match.
target_field,verified_gtins,Verified GTINs,Pipe-separated founder-reviewed exact GTINs stored in the Dynamic Signals asset as positive-only product evidence. A matching GTIN may establish product relevance even where crowdsourced product/brand text is poor. Missing or non-matching GTINs do not veto a valid identity + product-name match.
target_field,scope_review_summary,Scope Review Summary,"Internal targeting governance: why the target type, propagation and optional guard are correct and what the Signal must not propagate to. It is not consumer copy and must not silently introduce pack/date/batch gates."
signal_field,scope_qualification,Scope Qualification,"Consumer-facing qualification of the source/event scope, including affected packs, batches, dates, retailer or geography where relevant. It informs the consumer but does not become a runtime firing rule unless founders expressly approve that gate."
target_field,verified_gtin_evidence,Verified GTIN Evidence,Compact provenance for GTINs promoted into verified_gtins. Each governed GTIN should retain at least one product-code source URL; corroborating evidence may be included. Candidate or rejected GTINs do not enter the runtime verified_gtins list.
